logged_at,offer_id,trace_id,item_name,mcat_name,price,specs_category_outlier_status,specs_category_outlier_reason,title_category_outlier_status,title_category_outlier_reason,photo_category_outlier_status,photo_category_outlier_reason,photo_title_verdict,photo_title_verdict_reason,title_spec_verdict,title_spec_verdict_reason,price_flag_verdict,price_flag_reason,retail_classification,retail_classi_score,retail_confidence,retail_override_applied,retail_reason,retail_error,price_agent_result,price_agent_score,price_agent_confidence,price_value_by_ai,price_agent_reason,price_error,buyer_profile_genuineness,buyer_profile_score,buyer_profile_confidence,buyer_profile_reason,buyer_profile_error
2026-05-11 16:05:27,143987800095,143987800095_20260511_160516,PET Jars,PET Jars,0,not_outlier,"The product specifications (Quantity, Capacity) are consistent with the 'PET Jars' category.",not_outlier,The product title 'PET Jars' directly matches the category name 'PET Jars'.,not_outlier,The primary object 'PET Jars' directly matches the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'PET Jars' is consistent with the product specifications describing quantity and capacity.,outlier,Price Absurd,NON-RETAIL,0.8,High,No,"PET Jars are packaging material, quantity 500 Piece is beyond retail stocking, and wholesaler purchases are dominant.",,Unverifiable,,None,,Price agent failed; see price_error.,"Price LLM output parse failed: No JSON object found in LLM output: I'm sorry, but I cannot process this request. The `median` and `q3` values indicate that I should use these as anchors, but the `price_match` is ""no_data"". This means the provided median and q3 values are not derived from actual historical data for this specific category and unit, rendering them unr. Raw: 'I\'m sorry, but I cannot process this request. The `median` and `q3` values indicate that I should use these as anchors, but the `price_match` is ""no_data"". This means the provided median and q3 values are not derived from actual historical data for this specific category and unit, rendering them unreliable for price calculation. Therefore, a meaningful AI price range cannot be generated.'",Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:05:39,143975920134,143975920134_20260511_160527,Peanut Butter PET Jar,PET Jars,0,not_outlier,The product specifications describing a 'PET Jar' with a '100 g' capacity are consistent with the category name 'PET Jars'.,not_outlier,The product title 'Peanut Butter PET Jar' directly corresponds to the category name 'PET Jars'.,not_outlier,The primary object 'Peanut Butter Jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Peanut Butter PET Jar' is consistent with the product specifications describing a '100 Piece', '100 g' 'Round' PET jar.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,"Category is neutral (packaging), quantity is high for retail, and wholesaler share (74%) is dominant.",,Correct,0.8,Medium,₹ 8.00 - ₹ 11.50,AI range overlaps with buyer range and deviation is within 25%.,,Genuine,1.0,Low,"1 out of 1 listed product was a Peanut Butter Pet Jar, which matches the current BuyLead's MCAT 'PET Jars'.",
2026-05-11 16:05:50,143990754713,143990754713_20260511_160539,500ml Plastic Phenyl Bottle,Phenyl Bottles,0,not_outlier,The product specifications for a phenyl bottle align with the category 'Phenyl Bottles'.,not_outlier,The product title '500ml Plastic Phenyl Bottle' is consistent with the category 'Phenyl Bottles'.,not_outlier,The primary object 'bottle' aligns with the category 'Phenyl Bottles'.,not_outlier,,not_outlier,"The product title '500ml Plastic Phenyl Bottle' is consistent with product specifications detailing quantity, capacity, material, and color.",outlier,Price Absurd,RETAIL,0.8,High,No,"Category leans retail (cleaning agent), quantity (500 bottles) is plausible for retail stocking, and marketplace signals align with retail.",,Unverifiable,0.0,Low,₹ 0.00 - ₹ 0.00,No reference price data (Median/Q3) for this category-unit due to Price_Match: no_data.,,Genuine,0.7,Medium,"4 out of 5 prior enquiries are related (e.g., '500ml PET Phenyl Bottle', '5 L PET Phenyl Bottle'). One item ('Foil Sealing Machine') is adjacent.",
2026-05-11 16:06:02,143944081595,143944081595_20260511_160550,PET Jars,PET Jars,0,not_outlier,"The product specifications (quantity, capacity, shape) are entirely relevant to the category 'PET Jars'.",not_outlier,The product title 'PET Jars' perfectly matches the category name 'PET Jars'.,not_outlier,The primary object 'PET Jar' directly corresponds to the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'PET Jars' is consistent with the product specifications mentioning quantity and capacity of jars.,outlier,Price Absurd,RETAIL,0.8,High,No,"Category aligned with Retail. Quantity is low, typical for retail. High retailer purchase share supports Retail.",,Unverifiable,,None,,Price agent failed; see price_error.,"Price LLM output parse failed: Extra data: line 2 column 5 (char 124). Raw: 'Step 1 — Normalize Qty & Unit\n- Qty: ""5 Jar"" -> Normalized Qty: 5, Unit: PIECE\n\nStep 2 — Filter Relevant BL_card Items\n- ""Anerideals 5L Transparent Pet Jar With Yellow Handle & Cap - Durable & Food Grade Quality"", Price: ""₹ 16 / Piece"" -> Relevant, Compatible Unit (PIECE), Numeric Price: 16\n- ""Pet Plastic Jar"", Price: ""₹ 35 / Piece"" -> Relevant, Compatible Unit (PIECE), Numeric Price: 35\n- ""DETERGENT CAKE FRAGRANCE"", Price: ""₹ 520 / Kg"" -> Not Relevant (Category mismatch)\n- ""Lemon Perfume Deterg'",Unverifiable,,None,Buyer profile classification failed; see buyer_error.,Extra data: line 1 column 2 (char 1)
2026-05-11 16:06:14,143954936559,143954936559_20260511_160602,Bath Soaps,Bath Soaps,0,not_outlier,"The product specifications 'Brand: Dove, Weight: 150 g, Variant: Gold' are consistent with the 'Bath Soaps' category.",not_outlier,The product title 'Bath Soaps' directly matches the category name 'Bath Soaps'.,not_outlier,The primary object 'Dove Gold bar soap' aligns with the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'Bath Soaps' is consistent with the product specifications 'Brand: Dove, Weight: 150 g, Variant: Gold'.",outlier,Price Absurd,UNCLASSIFIED,,None,No,Classification skipped — Quantity is missing or invalid.,,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,"No reference price data for category-unit, cannot verify.",,Genuine,0.5,Medium,"One enquired item is directly related (Dove Soap), while 'Ghar Shop Magic Shop' is unrelated to Bath Soaps.",
2026-05-11 16:06:25,143964039867,143964039867_20260511_160614,PET Jars,PET Jars,0,not_outlier,Product specifications describing a quantity of 500 pieces with a capacity of 250g for dry fruits are consistent with the category 'PET Jars'.,not_outlier,The product title 'PET Jars' directly matches the category name 'PET Jars'.,not_outlier,Primary object 'PET jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'PET Jars' aligns with the specifications mentioning quantity, capacity, and usage for dry fruits.",outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,Category is neutral. Large quantity (500) suggests wholesale/distribution rather than retail stocking. Wholesaler purchases dominate.,,Correct,0.8,High,₹ 5400.0 - ₹ 7830.0,Buyer range overlaps AI range with a deviation below 25%.,,Genuine,0.7,Medium,"4/5 enquiries are related (PET Jars, Plastic Pet Jar) or adjacent (Agarbatti jar, Plastic Packaging Jar). Hotel Amenities Bottle is unrelated.",
2026-05-11 16:06:37,143975065885,143975065885_20260511_160625,Plastic Jar,PET Jars,0,not_outlier,"The product specifications including quantity, shape, and usage are consistent with the general understanding of PET Jars.",not_outlier,The product title 'Plastic Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'Plastic Jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Plastic Jar' is consistent with the product specifications detailing quantity, shape, and usage.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,"Category (packaging) and quantity (1000pc) suggest wholesale, supported by high wholesaler purchase share and NI.",,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,No reference price data available for this category and unit combination.,,Suspicious,0.1,Medium,Both previously enquired products (Kinoki patches) are unrelated to PET Jars. Basket is overwhelmingly unrelated.,
2026-05-11 16:06:48,143997209895,143997209895_20260511_160637,200 ml Phenyl PET Bottle,Phenyl Bottles,0,not_outlier,"Product specifications 'Capacity: 200 ml, Material: Plastic' are consistent with the 'Phenyl Bottles' category.",not_outlier,The product title '200 ml Phenyl PET Bottle' fits within the 'Phenyl Bottles' category.,not_outlier,The primary object 'phenyl bottle' directly corresponds to the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,The product title '200 ml Phenyl PET Bottle' aligns with specifications 'Capacity: 200 ml' and 'Material: Plastic'.,outlier,Price Absurd,RETAIL,0.6,Medium,No,Category is household cleaning. Quantity (100 bottles) is typical for retail stocking. Marketplace signals are mixed.,,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,No reference price data available for Phenyl Bottles.,,Genuine,0.8,High,"4 out of 5 enquiries are for PET bottles of various sizes (e.g., '1 Litre Phenyl Pet Bottle', '200ml Juice PET Bottle'), related to the current BuyLead for a phenyl bottle.",
2026-05-11 16:07:00,143974501559,143974501559_20260511_160648,GHAR Aqua Soap,Bath Soaps,0,not_outlier,"The product specifications 'Quantity: 2 Piece, Weight: 100 g' are consistent with items belonging to the 'Bath Soaps' category.",not_outlier,The product title 'GHAR Aqua Soap' corresponds to the category name 'Bath Soaps'.,not_outlier,The primary object 'bar of soap' is consistent with the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'GHAR Aqua Soap' aligns with the specifications 'Quantity: 2 Piece, Weight: 100 g' and 'Ghar soap'.",outlier,Price Absurd,RETAIL,0.8,High,No,"Bath Soaps are retail-oriented FMCG. Quantity is low, and purchase signals (Retailer share 70%, NI Wholesaler) strongly align with retail.",,Correct,0.8,Medium,₹ 78.0 - ₹ 117.0,Buyer order value falls within AI range with good overlap and low deviation.,,Genuine,1.0,Low,1 enquiry is the same category as the BuyLead (GHAR AQUA SOAP).,
2026-05-11 16:07:12,143964923875,143964923875_20260511_160700,Candy PET Jar,PET Jars,0,not_outlier,"The product specifications (quantity, capacity, shape) are consistent with the general characteristics of items found in a 'PET Jars' category.",not_outlier,The product title 'Candy PET Jar' directly corresponds to the category name 'PET Jars'.,not_outlier,The primary object 'Candy Jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Candy PET Jar' is consistent with the specifications describing quantity, capacity, and shape.",outlier,Price Absurd,RETAIL,0.6,Medium,No,"Neutral category, moderate quantity. Marketplace signals lean retailer, NI signals lean retailer. Evidence match allows for Medium confidence.",,Correct,0.8,High,₹ 10.90 - ₹ 14.85,AI range overlaps buyer value; deviation within acceptable limits.,,Genuine,1.0,High,"All previously enquired products are PET Jars or plastic jars used for similar purposes, aligning with the current BuyLead of 'Candy PET Jar'.",
2026-05-11 16:07:24,143998478667,143998478667_20260511_160712,1 Litre Phenyl Bottle,Phenyl Bottles,0,not_outlier,"The product specifications, such as 'Capacity: 1 Litre' and 'Material: Plastic', are consistent with products belonging to the 'Phenyl Bottles' category.",not_outlier,The product title '1 Litre Phenyl Bottle' is consistent with the category name 'Phenyl Bottles'.,not_outlier,The primary object '1 Litre Phenyl Bottle' directly corresponds to the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,The product title '1 Litre Phenyl Bottle' aligns with the specifications stating 'Capacity: 1 Litre' and 'Quantity: 100 Bottle'.,outlier,Price Absurd,RETAIL,0.6,Medium,No,"Category is neutral, quantity (100 bottles) is typical for retail stocking. Marketplace signals lean retail.",,Unverifiable,0.0,Low,N/A,No reference price data (Median_Price/Q3_Price are zero) for this category-unit.,,Genuine,1.0,Medium,"All 3 prior enquiries (Phenyl Bottle, 1 Liter Phenyl Pet Bottle, Phenyl) are directly related to the current BuyLead for '1 Litre Phenyl Bottle'.",
2026-05-11 16:07:36,143951262713,143951262713_20260511_160724,Bath Soaps,Bath Soaps,0,not_outlier,"The product specifications describe a bath soap, consistent with the category 'Bath Soaps'.",not_outlier,The product title 'Bath Soaps' perfectly matches the category name 'Bath Soaps'.,not_outlier,The primary object 'soap bar' directly corresponds to the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'Bath Soaps' is consistent with the specifications detailing brand, variant, and weight.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,Category 'Bath Soaps' is retail-oriented. Quantity 1000 pieces is high for retail stocking. Wholesaler share is >60%.,,Correct,0.8,High,"₹ 48,000.00 - ₹ 72,000.00",Buyer order value aligns perfectly with AI calculated range.,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:07:48,143970406246,143970406246_20260511_160736,500 Ml Plastic PET Jar,PET Jars,0,not_outlier,"The product specifications, including 'Capacity: 250 g', are consistent with the category name 'PET Jars'.",not_outlier,The product title '500 Ml Plastic PET Jar' matches the category name 'PET Jars'.,not_outlier,The primary object 'plastic jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title '500 Ml Plastic PET Jar' is generally consistent with specifications like 'Quantity: 1000 Piece' and 'Capacity: 250 g', though capacity mismatch needs review.",outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,PET Jars are neutral category. High quantity (1000) leans non-retail. Wholesaler purchases (2805) and NI (7) dominate.,,Correct,0.8,Medium,₹ 9600.0 - ₹ 14400.0,Buyer range overlaps AI range with acceptable deviation.,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:07:59,143956517775,143956517775_20260511_160748,Peanut Butter PET Jar,PET Jars,0,not_outlier,"The product specifications mention 'Usage: Ghee', which is inconsistent with the 'PET Jars' category.",not_outlier,"The product title is Peanut Butter PET Jar, and the category name is PET Jars, which are consistent.",not_outlier,"The primary object is a Peanut Butter Jar and the category name is PET Jars, which are consistent.",not_outlier,,not_outlier,"The product title is Peanut Butter PET Jar, but the specifications mention 'Usage: Ghee', which is inconsistent.",outlier,Price Absurd,RETAIL,0.6,Medium,No,PET Jars are retail-oriented packaging. Quantity is plausible for retail. Marketplace signals lean retail.,,Review,0.6,High,₹ 900.0 - ₹ 1500.0,"AI range misses buyer range significantly, but deviation is borderline for 'Review'.",,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:08:11,143949957246,143949957246_20260511_160759,"Transparent Round 250 g PET Jar, for Food Items",PET Jars,0,not_outlier,"The product specifications describe a PET jar, aligning with the 'PET Jars' category.",not_outlier,"The product title 'Transparent Round 250 g PET Jar, for Food Items' clearly falls under the 'PET Jars' category.",not_outlier,The primary object 'PET Jar' directly matches the category name 'PET Jars'.,not_outlier,,not_outlier,The product title and specifications both describe a PET jar with a capacity of 250g and a round shape.,outlier,Price Absurd,RETAIL,0.8,High,No,"PET Jars are common retail items. Quantity (200) is moderate for retail stocking. Wholesaler share (61%) slightly higher than Retailer share (39%), but overall signals lean Retail.",,Correct,0.8,High,"₹ 2,144.00 - ₹ 2,796.00","AI range overlaps buyer range, deviation within 25%.",,Genuine,0.6,Medium,"3 out of 5 enquiries were PET jars or plastic packaging jars, similar to the current BuyLead.",
2026-05-11 16:08:22,143954806563,143954806563_20260511_160811,Flulak Soap,Bath Soaps,0,not_outlier,"The product specifications (weight, variant) are consistent with products found in the 'Bath Soaps' category.",not_outlier,The product title 'Flulak Soap' clearly indicates it belongs to the 'Bath Soaps' category.,not_outlier,The primary object 'Bar of soap' falls within the 'Bath Soaps' category.,not_outlier,,not_outlier,The product title 'Flulak Soap' is consistent with the product specifications mentioning 'Variant: Original' and weight.,outlier,Price Absurd,RETAIL,0.8,High,No,Bath Soaps are retail-oriented. Low quantity (2) and high retailer purchase share (75/109) strongly indicate retail.,,Correct,0.8,High,₹ 102.0 - ₹ 153.0,Buyer range overlaps AI range with acceptable deviation.,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:08:34,143955912546,143955912546_20260511_160822,PET Jars,PET Jars,0,not_outlier,The product specifications 'Capacity: 100 g' are consistent with the product type in the 'PET Jars' category.,not_outlier,The product title 'PET Jars' aligns with the category name 'PET Jars'.,not_outlier,The primary object 'PET jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'PET Jars' is consistent with the product specification 'Capacity: 100 g'.,outlier,Price Absurd,UNCLASSIFIED,,None,No,Classification skipped — Quantity is missing or invalid.,,Unverifiable,0.0,Low,,"No reference price data (Median_Price, Q3_Price) found for PET Jars.",,Suspicious,0.3,High,"4 out of 5 enquired products, like glass jars and an air cooler, were unrelated to the PET Jars BuyLead.",
2026-05-11 16:08:45,143959240513,143959240513_20260511_160834,250 g PET Jar,PET Jars,0,not_outlier,"The product specifications, including capacity and usage for packing, are consistent with the category 'PET Jars'.",not_outlier,The product title '250 g PET Jar' corresponds to the category 'PET Jars'.,not_outlier,The primary object 'PET Jar' directly matches the category name 'PET Jars'.,not_outlier,,not_outlier,The product title '250 g PET Jar' aligns with the product specifications detailing 'Capacity: 250 g' and 'Usage: Spices Packing'.,outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,"PET Jars are neutral category. Quantity (100) is within retail norms. Wholesaler share (263/480=55%) slightly higher, but NI trend (24 vs 1) strongly suggests wholesaler.",,Correct,0.8,High,"₹ 875.0 - ₹ 1,181.25","AI range overlaps buyer range with low deviation, BL data was weak.",,Genuine,1.0,Low,1 out of 1 enquiries (100%) are of the same category (PET Jars).,
2026-05-11 16:08:57,143998720175,143998720175_20260511_160845,Capacity: 250 g Round PET Jar,PET Jars,0,not_outlier,"The product specifications, including 'Capacity: 250 g' and 'Shape: Round', align with the category name 'PET Jars'.",not_outlier,The product title 'Capacity: 250 g Round PET Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'round PET jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Capacity: 250 g Round PET Jar' is consistent with the product specifications 'Capacity: 250 g, Shape: Round'.",outlier,Price Absurd,RETAIL,0.8,Medium,No,PET Jars are generally retail-oriented. Quantity is moderate. Marketplace signals show mixed retailer/wholesaler purchase shares and NI.,,Correct,0.8,High,₹ 11.05 - ₹ 15.80,AI range overlaps buyer range with reasonable deviation.,,Genuine,1.0,High,All 5 previous enquiries for various PET jars are directly related to the current BuyLead for a PET Jar.,
2026-05-11 16:09:08,143969644252,143969644252_20260511_160857,Bath Soaps,Bath Soaps,0,not_outlier,"The product specifications, including 'Moisturizing Soap' and pack size, are consistent with the 'Bath Soaps' category.",not_outlier,The product title 'Bath Soaps' directly matches the category name 'Bath Soaps'.,not_outlier,The primary object 'bar of soap' aligns with the category name 'Bath Soaps'.,not_outlier,,not_outlier,The product title 'Bath Soaps' is consistent with the specifications mentioning 'Moisturizing Soap' and a pack size of 75 G.,outlier,Price Absurd,RETAIL,0.8,High,No,Bath soaps is retail-oriented. Quantity (1) is typical for retail stocking. Retailer share is high and aligned with category.,,Correct,0.8,Medium,₹ 51.0 - ₹ 70.2,Buyer range overlaps AI range with acceptable deviation.,,Genuine,1.0,Low,The enquiry for 'Moicent Moisturising Bar' is in the same category as the current BuyLead 'Bath Soaps'.,
2026-05-11 16:09:20,143957619475,143957619475_20260511_160908,200g Plastic Jar with Golden Metal Lid,PET Jars,0,not_outlier,"The product specifications, including 'Capacity: 200 g' and 'Usage: Honey', are consistent with the 'PET Jars' category.",not_outlier,The product title '200g Plastic Jar with Golden Metal Lid' correctly falls under the category 'PET Jars'.,not_outlier,The primary object 'Plastic jar with golden metal lid' aligns with the category 'PET Jars'.,not_outlier,,not_outlier,The product title '200g Plastic Jar with Golden Metal Lid' is consistent with specifications stating 'Capacity: 200 g' and 'Shape: Round'.,outlier,Price Absurd,NON-RETAIL,0.8,Medium,No,PET Jars are neutral category. High quantity (1000) and strong wholesaler purchase share (2805/3704) lean Non-Retail.,,Correct,0.8,High,₹ 9250.0 - ₹ 12650.0,"Buyer order value range overlaps with AI range, with reasonable deviation.",,Genuine,1.0,Medium,"All 3 past enquiries (e.g., 'Peanut Butter Pet Jar', '200g Plastic Jar With Golden Metal Lid') are directly related to PET Jars and the current BuyLead title.",
2026-05-11 16:09:33,143979684385,143979684385_20260511_160920,ACNOTOP Soap,Bath Soaps,0,not_outlier,"The product specifications 'Shape: Rectangular, Packaging Size: 75gm' are consistent with the category name 'Bath Soaps'.",not_outlier,The product title 'ACNOTOP Soap' aligns with the category name 'Bath Soaps'.,not_outlier,The primary object 'bar of soap' is consistent with the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'ACNOTOP Soap' aligns with the product specifications 'Shape: Rectangular, Packaging Size: 75gm'.",outlier,Price Absurd,UNCLASSIFIED,,None,No,Classification skipped — Quantity is missing or invalid.,,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,No reference price data for category/unit. Median/Q3 are zero.,,Genuine,1.0,Low,The enquired product 'ACNOTOP SOAP' is directly related to the BuyLead 'ACNOTOP Soap' in the 'Bath Soaps' category.,
2026-05-11 16:09:44,143987156259,143987156259_20260511_160933,Seasoning Sprinkler PET Jar,PET Jars,0,not_outlier,"The product specifications describing a PET jar's quantity, capacity, and shape are consistent with the 'PET Jars' category.",not_outlier,The product title 'Seasoning Sprinkler PET Jar' clearly indicates a product within the 'PET Jars' category.,not_outlier,The primary object 'PET Jar' directly matches the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Seasoning Sprinkler PET Jar' is consistent with specifications mentioning quantity, capacity, and shape.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,PET Jars are neutral category. High quantity (1000 units) and dominant wholesaler purchases (80%) suggest non-retail use.,,Correct,0.8,High,₹ 72100.0 - ₹ 93966.0,"AI range overlaps buyer range, with moderate deviation.",,Unverifiable,,None,Buyer profile classification failed; see buyer_error.,Expecting value: line 1 column 1 (char 0)
2026-05-11 16:09:55,144002256385,144002256385_20260511_160944,Bath Soaps,Bath Soaps,0,not_outlier,"The product specifications (quantity, brand, weight) are consistent with items found in the 'Bath Soaps' category.",not_outlier,The product title 'Bath Soaps' directly matches the category name 'Bath Soaps'.,not_outlier,The primary object 'hand soap bar' corresponds to the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'Bath Soaps' is consistent with the product specifications which include quantity, brand, and weight.",outlier,Price Absurd,RETAIL,0.8,High,No,Bath Soaps are retail-oriented. High purchase volume (500 cartons) and strong retailer purchase signals (47% vs 70% wholesaler) indicate retail.,,Unverifiable,0.0,Low,,No reference price data available for this category and unit (price_match: no_data).,,Genuine,1.0,Low,All enquired products are directly related to the BuyLead category. (RELIANCE Glimmer SOAP is a bath soap).,
2026-05-11 16:10:07,143963037246,143963037246_20260511_160955,Apna Ghar Majic Soap,Bath Soaps,0,not_outlier,"Some specifications like 'Weight: 100 g' and 'Quantity: 30 Piece' are relevant to Bath Soaps, but other specifications are irrelevant to the category.",not_outlier,The product title 'Apna Ghar Majic Soap' is consistent with the 'Bath Soaps' category.,not_outlier,The primary object 'Soap bar' aligns with the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'Apna Ghar Majic Soap' is consistent with specifications like '100 g' weight and '30 Piece' quantity, however, other details in specifications are not related.",outlier,Price Absurd,RETAIL,0.8,Medium,No,Bath soaps are retail-oriented FMCG. Quantity and purchase signals lean towards retail.,,Correct,1.0,High,₹ 48.0 - ₹ 72.0,AI range overlaps buyer order value with low deviation.,,Genuine,1.0,Low,"1 out of 1 enquiry is for 'apna ghar majic soap', which is the same product as the BuyLead.",
2026-05-11 16:10:19,143974085459,143974085459_20260511_161007,Bath Soaps,Bath Soaps,0,not_outlier,"The product specifications describe a bath soap (quantity, weight, brand), which is consistent with the 'Bath Soaps' category.",not_outlier,The product title 'Bath Soaps' directly matches the category name 'Bath Soaps'.,not_outlier,The primary object 'soap bar' aligns with the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'Bath Soaps' is consistent with specifications that include quantity, brand, weight, and variant of soap.",outlier,Price Absurd,RETAIL,0.6,Medium,No,Category is retail-oriented (personal care). Quantity is moderate. Marketplace signals lean towards Non-Retail (wholesaler purchases > retailer purchases).,,Correct,0.8,High,₹ 48.0 - ₹ 72.0,Buyer range overlaps AI range with no significant deviation.,,Suspicious,0.1,Medium,Most prior enquiries like 'Fried Badam Pakoda' are unrelated to the current BuyLead for 'Bath Soaps'. Only 'Exo Dishwash Tub' shows slight relatedness.,
2026-05-11 16:10:32,143985725367,143985725367_20260511_161019,250gm PET Jar,PET Jars,0,not_outlier,"The product specifications mention capacity and usage (dry fruits), which are consistent with the function of PET jars in the 'PET Jars' category.",not_outlier,The product title '250gm PET Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'PET jar' directly matches the category name 'PET Jars'.,not_outlier,,not_outlier,The product title '250gm PET Jar' is consistent with the product specifications indicating a 250g capacity.,outlier,Price Absurd,RETAIL,0.8,High,No,PET Jars are neutral category. Quantity 50 is low. Marketplace shows high retailer share.,,Correct,0.8,High,₹ 324.0 - ₹ 445.5,Buyer order value range aligns well with AI generated price range.,,Suspicious,0.33,Medium,One of three enquiries (400gm PET Jar) is related. The other two (Pen Making Machines) are unrelated.,
2026-05-11 16:10:43,143957510695,143957510695_20260511_161032,Transparent Round PET Jars,PET Jars,0,not_outlier,"The product specifications (Usage: Cookies, Capacity: 1 kg) are appropriate for items within the 'PET Jars' category.",not_outlier,The product title 'Transparent Round PET Jars' is consistent with the category name 'PET Jars'.,not_outlier,The primary object (clear plastic jars) directly corresponds to the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'Transparent Round PET Jars' is consistent with the specifications 'Shape: Round' and 'Usage: Cookies'.,outlier,Price Absurd,NON-RETAIL,0.8,Medium,No,"PET jars are packaging material, and the high quantity suggests wholesale distribution rather than retail resale.",,Correct,0.8,High,"₹ 12,100.0 - ₹ 16,335.0",Buyer order value has partial overlap with AI range and deviation is within acceptable limits.,,Genuine,1.0,High,"All 5 previously enquired products are directly related to PET Jars, aligning perfectly with the current BuyLead.",
2026-05-11 16:10:55,143962761334,143962761334_20260511_161043,Transparent Phenyl PET Bottle,Phenyl Bottles,0,not_outlier,"Product specifications 'Capacity: 5 Litre, Material: Plastic, Color: Transparent' are consistent with the category 'Phenyl Bottles'.",not_outlier,Product title 'Transparent Phenyl PET Bottle' corresponds to the category 'Phenyl Bottles'.,not_outlier,Primary object 'Transparent plastic bottles' is consistent with the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,"Product title 'Transparent Phenyl PET Bottle' is consistent with product specifications indicating 'Capacity: 5 Litre, Material: Plastic, Color: Transparent'.",outlier,Price Absurd,RETAIL,0.6,Medium,No,"Category is neutral, quantity is moderate. Signals lean retail (retailer purchases > wholesaler, high retailer NI).",,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,No reference price data available for this category and unit.,,Genuine,1.0,Low,"The buyer previously enquired about 'Black Phenyl Pet Bottle', which is directly related to the current BuyLead for 'Transparent Phenyl PET Bottle' (same category).",
2026-05-11 16:11:07,143951571385,143951571385_20260511_161055,Phenyl Bottles,Phenyl Bottles,0,not_outlier,The product specifications for phenyl bottles are appropriate for the 'Phenyl Bottles' category.,not_outlier,The product title 'Phenyl Bottles' is consistent with the category name 'Phenyl Bottles'.,not_outlier,The primary object 'Phenyl Bottle' directly matches the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,The product title 'Phenyl Bottles' is consistent with the specifications indicating '720 Piece' and '1 Litre'.,outlier,Price Absurd,NON-RETAIL,0.8,High,No,"Category is neutral, quantity is high (720pc) for retail. Wholesaler purchases (42/70) dominate.",,Correct,0.8,High,₹ 6.59 - ₹ 8.80,Order value within AI range with good overlap and low deviation.,,Genuine,0.7,Medium,"4 out of 5 enquiries are for empty bottles (Phenyl and water), showing relatedness. One enquiry is for a tumbler.",
